Time (s),Epoch,Train Loss,Test Loss,Grid Updated
100.7118730545044,0,0.1823414,21.768383,1
406.99279713630676,1,30.522537,23.52508,1
723.0503489971161,2,10.1007805,16.814657,1
1045.2205040454865,3,10.489629,14.9555645,1
1381.454721212387,4,10.003046,12.841146,1
1737.528652191162,5,9.961673,12.242537,1
2120.6776990890503,6,11.630377,12.454557,1
2546.440736055374,7,8.391889,9.822423,1
3029.122302055359,8,10.263843,11.749391,1
3532.2015120983124,9,5.29284,9.269857,1
4064.3958740234375,10,4.6789227,10.508411,1
4580.001654148102,11,6.3532457,6.2364116,1
5129.945904016495,12,5.957147,8.155478,1
5684.210695028305,13,6.4162354,7.746713,1
6250.331732034683,14,3.8520658,5.899892,1
6944.468456983566,15,4.900784,10.207072,1
7721.232439041138,16,3.333184,7.544795,1
8558.44970703125,17,5.88579,7.827291,1
9472.138038158417,18,6.23878,6.2165504,1
10419.648729085922,19,6.7386827,9.000685,1
11315.777516126633,20,5.3806877,5.713311,1
